spelling_accuracy,grammatical_accuracy,percentage_of_correction,Label
77.65957447,98.9010989,23.43932663,1
85.36585366,99.37888199,15.25526435,1
91.76470588,99.40828402,8.827010094,1
84.72222222,98.57142857,16.70634921,1
87.05882353,99.39393939,13.54723708,1
80.04535147,99.76580796,20.18884056,1
86.53846154,99,14.46153846,1
80,98.80952381,21.19047619,1
82.13166144,99.68152866,18.1868099,1
79.20792079,98.92473118,21.86734803,1
85.11904762,99.38271605,15.49823633,1
86.81135225,99.82905983,13.35958792,1
82.14285714,98.07692308,19.78021978,1
85.59670782,99.78768577,14.61560641,1
89.83050847,99.14529915,11.02419238,1
77.14285714,98.50746269,24.34968017,1
92.13483146,98.8372093,9.027959237,1
86.56716418,98.46153846,14.97129736,1
87.43718593,99.47643979,13.08637428,1
88.88888889,98.61111111,12.5,1
88.34080717,99.53488372,12.1243091,1
83.33333333,98.97959184,17.68707483,1
82.35294118,94.11764706,23.52941176,1
88.02083333,99.47368421,12.50548246,1
82.28882834,99.71590909,17.99526257,1
82.14285714,99.38650307,18.47063979,1
80.41237113,99.46808511,20.11954376,1
84.76190476,99.51219512,15.72590012,1
80.70175439,99.04761905,20.25062657,1
82.10526316,99.44134078,18.45339606,1
85.41666667,97.77777778,16.80555556,1
82.63888889,99.25925926,18.10185185,1
83.33333333,98.71794872,17.94871795,1
85.60606061,99.21875,15.17518939,1
81.39534884,97.56097561,21.04367555,1
84.39490446,99.669967,15.93512854,1
87.38738739,99.55156951,13.06104311,1
85.23489933,99.29577465,15.46932602,1
83.48623853,99.01960784,17.49415362,1
89.28571429,96.42857143,14.28571429,1
87.19211823,99.74874372,13.05913805,0
93.79562044,99.6350365,6.569343066,0
89.02821317,99.67845659,11.29333024,0
93.16239316,99.71264368,7.124963159,0
95.29085873,99.72144847,4.987692806,0
96.4516129,99.6742671,3.874119996,0
90.49586777,99.58333333,9.920798898,0
85.51401869,99.51690821,14.9690731,0
93.08357349,99.70930233,7.207124187,0
92.47648903,99.68253968,7.840971289,0
86.11987382,99.67532468,14.20480151,0
91.34615385,99.75247525,8.901370906,0
83.21917808,99.64539007,17.13543185,0
81.16883117,99.65517241,19.17599642,0
86.34920635,99.67741935,13.9733743,0
93.22799097,99.77272727,6.999281757,0
89.86666667,99.72826087,10.40507246,0
82.5203252,99.58333333,17.89634146,0
83.39222615,99.6350365,16.97273736,0
85.99348534,99.65986395,14.34665071,0
83.15789474,99.63898917,17.20311609,0
87.57763975,99.78858351,12.63377674,0
94.56521739,99.78165939,5.65312322,0
85.33333333,99.72899729,14.93766938,0
90.72847682,99.66329966,9.608223516,0
93.81443299,99.65635739,6.529209622,0
78.83817427,99.56331878,21.59850695,0
89.37823834,99.7382199,10.88354176,0
89.05775076,99.6875,11.25474924,0
86.07594937,99.78354978,14.14050085,0
87.13235294,99.62546816,13.24217889,0
84.49367089,99.6742671,15.83206201,0
87.22741433,99.67845659,13.09412908,0
90.97065463,99.77272727,9.2566181,0
92.01995012,99.74811083,8.231939044,0
90.66666667,99.65870307,9.674630262,0
91.91616766,99.6969697,8.386862638,0
87.44394619,99.76958525,12.78646856,0
86.09022556,99.61389961,14.29587482,0
91.39465875,99.69879518,8.906546066,0
85.34883721,99.76133652,14.88982628,0
86.76470588,99.74747475,13.48781937,0
86.45533141,99.70326409,13.84140449,0
85.8044164,99.6763754,14.51920819,0
94.29928741,99.76019185,5.940520743,0
86.77419355,99.66666667,13.55913978,0
92.69406393,99.76798144,7.537954635,0
93.68191721,99.78070175,6.537381034,0
92.38095238,99.67741935,7.941628264,0
92,99.71098266,8.289017341,0
